,Config,Scheduler,Iteration,total time,cpu time,write to cpu ratio,task scheduler delay,peak JVM,total shuffle read,total shuffle write,average response time,average response time (worst10%),average response time (worst85),average response time (worst95),average response time (worst100),average proportional slowdown,average proportional slowdown (worst10%),loop100_ average response time,loop100_ average response time (worst 10%),loop100_ average proportional slowdown,loop100_ average proportional slowdown (worst 10%),loop100_ average response time (worst 1%),loop100_ average proportional slowdown (worst 1%),loop1000_ average response time,loop1000_ average response time (worst 10%),loop1000_ average proportional slowdown,loop1000_ average proportional slowdown (worst 10%),loop1000_ average response time (worst 1%),loop1000_ average proportional slowdown (worst 1%),user1_big_ average response time,user1_big_ average proportional slowdown (worst 10%),user1_big_ average response time (worst 10%),user1_big_ average proportional slowdown,user2_big_ average response time,user2_big_ average proportional slowdown (worst 10%),user2_big_ average response time (worst 10%),user2_big_ average proportional slowdown,user3_small_ average response time,user3_small_ average proportional slowdown (worst 10%),user3_small_ average response time (worst 10%),user3_small_ average proportional slowdown,user4_small_ average response time,user4_small_ average proportional slowdown (worst 10%),user4_small_ average response time (worst 10%),user4_small_ average proportional slowdown,loop20_ DVR,loop20_ violation count,loop20_ DSR,loop20_ slack count,loop100_ DVR,loop100_ violation count,loop100_ DSR,loop100_ slack count,loop1000_ DVR,loop1000_ violation count,loop1000_ DSR,loop1000_ slack count,user1_big_ DVR,user1_big_ violation count,user1_big_ DSR,user1_big_ slack count,user2_big_ DVR,user2_big_ violation count,user2_big_ DSR,user2_big_ slack count,user3_small_ DVR,user3_small_ violation count,user3_small_ DSR,user3_small_ slack count,user4_small_ DVR,user4_small_ violation count,user4_small_ DSR,user4_small_ slack count,best user DVR,worst user DVR ,best user DSR,worst user DSR,Total DVR,Total violations,Total DSR,Total gains
0,2_large_2_small_users,CUSTOM_CLUSTERFAIR,0.0,52.9229998588562,0.0,0.0,0.0,0.663837096,5.2864e-05,5.2864e-05,7.131250047683716,16.56749999523163,5.343187555670738,12.43233331044515,19.837000131607056,1.3995946909601726,2.272101308652317,3.5171667337417603,5.263000011444092,1.5624907746520478,2.338071973098219,5.263000011444092,2.338071973098219,12.55237501859665,19.837000131607056,1.1552505654223597,1.8256868189781468,19.837000131607056,1.8256868189781468,11.933749973773956,1.223873715784474,13.297999858856201,1.0983157676843178,13.171000063419342,1.8256868189781468,19.837000131607056,1.2121853631604014,3.7815000216166177,2.338071973098219,5.263000011444092,1.6799200451428777,3.252833445866903,1.7147934844577537,3.8600001335144043,1.4450615041612183,,0.0,,0.0,0.9573726408984823,3.0,-0.43650443650142545,9.0,0.4559026172619559,11.0,-0.43650443650142545,9.0,0.355497966129695,15.0,-0.43650443650142545,9.0,0.3767231398456623,19.0,-0.43650443650142545,9.0,0.455902617261956,22.0,-0.4500614264984695,12.0,0.455902617261956,22.0,-0.43650443650142545,18.0,0.355497966129695,0.455902617261956,-0.43650443650142545,-0.4500614264984695,0.455902617261956,22.0,-0.43650443650142545,18.0
1,2_large_2_small_users,CUSTOM_CLUSTERFAIR,1.0,52.67400002479553,0.0,0.0,0.0,0.643376256,5.2864e-05,5.2864e-05,7.375699973106384,15.50849986076355,5.778562486171722,12.138999938964844,18.639999866485596,1.5233007661096944,2.309640160352587,3.9960833191871643,5.276000022888184,1.775248031624684,2.3438471891995483,5.276000022888184,2.3438471891995483,12.445124953985214,18.639999866485596,1.1453798678372107,1.715521592792379,18.639999866485596,1.715521592792379,11.789249956607819,1.139110013808983,12.376999855041504,1.085016792288235,13.10099995136261,1.715521592792379,18.639999866485596,1.2057429433861864,3.9738332827885947,2.09018210737719,4.704999923706055,1.7653635196750752,4.018333355585734,2.3438471891995483,5.276000022888184,1.785132543574293,,0.0,,0.0,0.675065804346104,4.0,-0.3889062491120854,8.0,0.38212448828129325,12.0,-0.3889062491120854,8.0,0.2997574777697681,16.0,-0.3889062491120854,8.0,0.3235362250683311,20.0,-0.3889062491120854,8.0,0.3773296851512134,23.0,-0.37939674992286715,11.0,0.3821244882812933,24.0,-0.3889062491120854,16.0,0.2997574777697681,0.3821244882812933,-0.37939674992286715,-0.3889062491120854,0.3821244882812933,24.0,-0.3889062491120854,16.0
2,2_large_2_small_users,CUSTOM_CLUSTERFAIR,2.0,54.8199999332428,0.0,0.0,0.0,0.537360224,5.2864e-05,5.2864e-05,7.190349996089935,16.23900008201599,5.432624995708466,12.441999991734823,19.55900001525879,1.4066012536372008,2.252554427460001,3.524583339691162,5.431999921798706,1.5657855796051363,2.4131496764987586,5.431999921798706,2.4131496764987586,12.688999980688095,19.55900001525879,1.167824764685297,1.8001012392672944,19.55900001525879,1.8001012392672944,11.737750053405762,1.1889926969557951,12.919000148773193,1.0802770285219974,13.640249907970428,1.8001012392672944,19.55900001525879,1.2553725008485968,3.2016666730244956,1.7889826523362662,4.0269999504089355,1.4223308187581054,3.8475000063578286,2.4131496764987586,5.431999921798706,1.709240340452167,,0.0,,0.0,0.08779316420370381,4.0,-0.3868566877594122,8.0,0.2375976859146924,12.0,-0.3868566877594122,8.0,0.19719827656478126,16.0,-0.3868566877594122,8.0,0.2675585902568901,20.0,-0.3868566877594122,8.0,0.24767118760952517,23.0,-0.3800883453286892,11.0,0.23759768591469244,24.0,-0.3868566877594122,16.0,0.19719827656478126,0.2675585902568901,-0.3800883453286892,-0.3868566877594122,0.23759768591469244,24.0,-0.3868566877594122,16.0
3,2_large_2_small_users,CUSTOM_CLUSTERFAIR,1.0,53.47233327229818,0.0,0.0,0.0,0.6148578586666666,5.2864e-05,5.2864e-05,7.232433338960012,16.104999979337055,5.518125012516975,12.337777747048271,19.345333337783813,1.4431655702356894,2.2780986321549683,3.6792777975400295,5.32366665204366,1.6345081286272891,2.365022946265509,5.32366665204366,2.365022946265509,12.562166651089989,19.345333337783813,1.156151732648289,1.78043655034594,19.345333337783813,1.78043655034594,11.820249994595846,1.183992142183084,12.864666620890297,1.0878698628315167,13.304083307584126,1.78043655034594,19.345333337783813,1.2244336024650615,3.652333325809902,2.0724122442705584,4.664999961853027,1.6225381278586861,3.706222269270155,2.15726345005202,4.856000026067098,1.6464781293958928,,0.0,,0.0,0.5734105364827633,3.666666666666666,-0.404089124457641,8.333333333333332,0.3585415971526472,11.666666666666666,-0.404089124457641,8.333333333333332,0.2841512401547481,15.666666666666664,-0.404089124457641,8.333333333333332,0.3226059850569612,19.666666666666668,-0.404089124457641,8.333333333333332,0.36030116334089823,22.666666666666668,-0.4031821739166752,11.333333333333332,0.3585415971526472,23.333333333333332,-0.404089124457641,16.666666666666664,0.2841512401547481,0.3685285652667131,-0.39866317725099387,-0.40860812112332234,0.3585415971526472,23.333333333333332,-0.404089124457641,16.666666666666664
16,2_large_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,0.0,37.83999991416931,0.0,0.0,0.0,0.558352184,0.000169212,0.000169212,5.111200010776519,12.080999970436096,3.819687530398369,8.860666592915853,14.526999950408936,1.0048537118196927,1.3428589647207163,2.5290000438690186,3.0360000133514404,1.1235006858591818,1.3487339019775388,3.0360000133514404,1.3487339019775388,8.984499961137772,14.526999950408936,0.8268832507604593,1.3369840274638936,14.526999950408936,1.3369840274638936,8.571499943733215,0.8867516442375644,9.634999990463257,0.7888730333379241,9.397499978542328,1.3369840274638936,14.526999950408936,0.8648934681829945,2.462666710217794,1.3487339019775388,3.0360000133514404,1.094032301296221,2.595333377520243,1.3331853247176058,3.001000165939331,1.1529690704221427,,0.0,,0.0,,0.0,-0.5331825248129772,12.0,0.018330948255540543,3.0,-0.40439167364177936,17.0,0.018330948255540543,3.0,-0.3476590754593959,21.0,0.018330948255540543,6.0,-0.3341421184574895,22.0,0.018330948255540543,6.0,-0.38141515854550034,28.0,0.018330948255540543,6.0,-0.40439167364177925,34.0,0.018330948255540543,0.018330948255540543,-0.3341421184574895,-0.40439167364177925,0.018330948255540543,6.0,-0.40439167364177925,34.0
17,2_large_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,40.60899996757507,0.0,0.0,0.0,0.516288648,0.000169212,0.000169212,5.651199996471405,12.971000075340271,4.187062472105026,10.436333417892456,14.722000122070312,1.1324264897077,1.8327410408572478,2.897499998410543,4.263999938964844,1.2872056856555052,1.8942691865681223,4.263999938964844,1.8942691865681223,9.781749993562698,14.722000122070312,0.9002576957859922,1.3549307553329633,14.722000122070312,1.3549307553329633,9.466749966144562,1.0326262048327486,11.22000002861023,0.8712668506874568,10.096750020980835,1.3549307553329633,14.722000122070312,0.9292485408845276,3.025166710217794,1.8942691865681223,4.263999938964844,1.3439212395458877,2.769833286603292,1.4522434710820795,3.2690000534057617,1.230490131765123,,0.0,,0.0,0.3866714327724606,1.0,-0.5160211390608406,11.0,0.27753528700792784,8.0,-0.4814977454633533,12.0,0.27803897052694526,11.0,-0.45228564318855635,13.0,0.27025954395695895,15.0,-0.45228564318855635,13.0,0.27025954395695895,15.0,-0.45426710711884183,19.0,0.27753528700792784,16.0,-0.48149774546335333,24.0,0.27025954395695895,0.27803897052694526,-0.45228564318855635,-0.48149774546335333,0.27753528700792784,16.0,-0.48149774546335333,24.0
18,2_large_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,2.0,37.99500012397766,0.0,0.0,0.0,0.598033032,0.000169212,0.000169212,5.2319500088691715,12.155500054359436,3.950625002384186,8.93066668510437,14.63700008392334,1.0536712168764077,1.5415370543762503,2.7074166735013327,3.7129998207092285,1.2027617385612317,1.6494890362990795,3.7129998207092285,1.6494890362990795,9.018750011920929,14.63700008392334,0.830035434349172,1.347107826047889,14.63700008392334,1.347107826047889,8.605000019073486,0.8903409898113783,9.674000024795532,0.7919561933710815,9.432500004768372,1.347107826047889,14.63700008392334,0.8681146753272625,2.7010000546773276,1.4335850724534211,3.2269999980926514,1.1999111748899722,2.713833292325338,1.6494890362990795,3.7129998207092285,1.205612302232491,,0.0,,0.0,,0.0,-0.5103562331350427,12.0,0.03213250151487532,3.0,-0.38513932364115655,17.0,0.03213250151487532,3.0,-0.330685142515303,21.0,0.03213250151487532,6.0,-0.31683919118994597,22.0,0.03213250151487532,6.0,-0.3588537970503603,28.0,0.03213250151487532,6.0,-0.3851393236411565,34.0,0.03213250151487532,0.03213250151487532,-0.31683919118994597,-0.3851393236411565,0.03213250151487532,6.0,-0.3851393236411565,34.0
19,2_large_2_small_users,CUSTOM_CLUSTERFAIR_PARTITIONER,1.0,38.81466666857402,0.0,0.0,0.0,0.5575579546666667,0.000169212,0.000169212,5.331450005372366,12.402500033378601,3.9857916682958603,9.409222231970894,14.628666718800861,1.0636504728012668,1.572379019984738,2.7113055719269648,3.670999924341838,1.204489370025306,1.63083070828158,3.670999924341838,1.63083070828158,9.261666655540466,14.628666718800861,0.8523921269652079,1.3463408696149153,14.628666718800861,1.3463408696149153,8.881083309650421,0.9365729462938971,10.17633334795634,0.8173653591321541,9.642250001430511,1.3463408696149153,14.628666718800861,0.8874188947982615,2.7296111583709717,1.5588627203330274,3.5089999834696455,1.2126215719106936,2.692999985482958,1.4783059440329214,3.327666680018107,1.196357168139919,,0.0,,0.0,,0.3333333333333333,-0.5198532990029535,11.666666666666666,0.10933291225944791,4.666666666666666,-0.42367624758209643,15.333333333333336,0.10950080676578705,5.666666666666666,-0.37687662038775177,18.333333333333332,0.10690766457579161,9.0,-0.3677556509453306,19.0,0.10690766457579161,9.0,-0.3981786875715675,25.0,0.10933291225944791,9.333333333333332,-0.4236762475820963,30.66666666666667,0.10690766457579161,0.10950080676578705,-0.3677556509453306,-0.4236762475820963,0.10933291225944791,9.333333333333332,-0.4236762475820963,30.66666666666667
4,2_large_2_small_users,CUSTOM_FAIR,0.0,48.235000133514404,0.0,0.0,0.0,0.619995304,5.2864e-05,5.2864e-05,7.83170006275177,13.05400013923645,6.715750053524971,11.857333421707153,13.610000133514404,1.8122751659537393,3.78698362132699,5.164916714032491,8.86900019645691,2.294498762342288,3.940026742095472,8.86900019645691,3.940026742095472,11.831875085830688,13.610000133514404,1.088939771370916,1.2525884803749854,13.610000133514404,1.2525884803749854,11.667500078678131,1.1502462054170075,12.498000144958496,1.0738116127815682,11.996250092983246,1.2525884803749854,13.610000133514404,1.1040679299602636,4.155333360036214,2.9720124643360544,6.690000057220459,1.8459943847339908,6.174500068028768,3.940026742095472,8.86900019645691,2.7430031399505856,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,4.0,,0.0,0.0,8.0,,0.0,0.0,14.0,,0.0,0.0,20.0,,,0.0,0.0,,0.0,0.0,20.0
5,2_large_2_small_users,CUSTOM_FAIR,1.0,48.329999923706055,0.0,0.0,0.0,0.647468088,5.2864e-05,5.2864e-05,7.772949993610382,13.128999948501587,6.598249986767769,12.182333389918009,13.339999914169312,1.7744293417745713,3.8409595858092196,5.011416633923848,8.667999982833862,2.226306812049688,3.8507329999261932,8.667999982833862,3.8507329999261932,11.915250033140182,13.339999914169312,1.096613136361896,1.2277391665518669,13.339999914169312,1.2277391665518669,11.812500059604645,1.1889006472627914,12.917999982833862,1.087156602052795,12.01800000667572,1.2277391665518669,13.339999914169312,1.1060696706709972,4.33816659450531,2.880497542236816,6.483999967575073,1.9272175008908528,5.684666673342387,3.8507329999261932,8.667999982833862,2.5253961232085236,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.08954098754599263,4.0,,0.0,0.07328755034441595,5.0,-0.02412289492234421,3.0,0.07507601087488515,10.0,-0.025939706182446294,4.0,0.06803034258974477,12.0,-0.0932941649410446,8.0,0.06803034258974477,0.08954098754599263,,,0.06803034258974477,12.0,-0.0932941649410446,8.0
6,2_large_2_small_users,CUSTOM_FAIR,2.0,49.21900010108948,0.0,0.0,0.0,0.626679512,5.2864e-05,5.2864e-05,7.860250020027161,13.0,6.676125019788742,12.312000036239624,13.450999975204468,1.7894906014815242,3.7872056757699424,5.044666687647502,8.589999914169312,2.2410780487105733,3.816081703318219,8.589999914169312,3.816081703318219,12.08362501859665,13.450999975204468,1.1121094306379504,1.2379549928861504,13.450999975204468,1.2379549928861504,11.921750009059906,1.1549399498224224,12.549000024795532,1.097211357881359,12.245500028133392,1.2379549928861504,13.450999975204468,1.1270075033945417,4.369166731834412,3.0097734763960156,6.775000095367432,1.9409892189402091,5.720166643460591,3.816081703318219,8.589999914169312,2.541166878480938,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.10309778072751521,4.0,,0.0,0.09400035952213802,7.0,-0.01263777869703915,1.0,0.08668755653856895,12.0,-0.017155958084417153,2.0,0.0801669421892642,14.0,-0.10352859170992419,6.0,0.0801669421892642,0.10309778072751521,,,0.0801669421892642,14.0,-0.10352859170992419,6.0
7,2_large_2_small_users,CUSTOM_FAIR,1.0,48.594666719436646,0.0,0.0,0.0,0.631380968,5.2864e-05,5.2864e-05,7.821633358796436,13.06100002924601,6.663375020027161,12.117222282621597,13.467000007629395,1.7920650364032782,3.805049627635384,5.073666678534614,8.709000031153362,2.2539612077008497,3.868947148446628,8.709000031153362,3.868947148446628,11.943583379189175,13.467000007629395,1.0992207794569209,1.2394275466043343,13.467000007629395,1.2394275466043343,11.800583382447561,1.1646956008340739,12.655000050862633,1.0860598575719074,12.086583375930786,1.2394275466043343,13.467000007629395,1.1123817013419341,4.287555562125312,2.9540944943229617,6.649666706720987,1.904733701521684,5.859777794943915,3.868947148446628,8.709000031153362,2.603188713880016,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,2.6666666666666665,,1.3333333333333333,,4.0,-0.012253557873127787,4.0,,7.333333333333334,-0.014365221422287815,6.666666666666667,,8.666666666666668,-0.06560758555032294,11.333333333333334,,,,,,8.666666666666668,-0.06560758555032294,11.333333333333334
36,2_large_2_small_users,CUSTOM_FAIR_PARTITIONER,0.0,37.79699993133545,0.0,0.0,0.0,0.629879968,0.000169212,0.000169212,7.040100002288819,12.496000051498413,6.191687494516373,9.181666692097982,14.190000057220459,1.8579402380887373,3.468902679826354,5.725750009218852,7.957000017166138,2.543647271976389,3.534873397230625,7.957000017166138,3.534873397230625,9.011624991893768,14.190000057220459,0.8293796872572609,1.305968437459892,14.190000057220459,1.305968437459892,8.637250006198883,0.9941558184875401,10.802000045776367,0.7949243022593422,9.385999977588654,1.305968437459892,14.190000057220459,0.8638350722551795,5.531500021616618,2.6694802589704594,6.009000062942505,2.4573522974751745,5.919999996821086,3.534873397230625,7.957000017166138,2.629942246477603,,0.0,,0.0,,0.0,0.0,12.0,,0.0,0.0,20.0,,0.0,0.0,24.0,,0.0,0.0,28.0,,0.0,0.0,34.0,,0.0,0.0,40.0,,,0.0,0.0,,0.0,0.0,40.0
37,2_large_2_small_users,CUSTOM_FAIR_PARTITIONER,1.0,37.634000062942505,0.0,0.0,0.0,0.59414544,0.000169212,0.000169212,6.887000000476837,12.358999967575073,5.984750002622604,9.399333318074545,13.78600001335144,1.8051592156525422,3.431141773683131,5.542666673660278,8.192000150680542,2.4623130491604965,3.6392715018571926,8.192000150680542,3.6392715018571926,8.903499990701675,13.78600001335144,0.8194284653906102,1.2687865273895762,13.78600001335144,1.2687865273895762,8.453249990940094,1.0061202817908708,10.931999921798706,0.7779899674143016,9.353749990463257,1.2687865273895762,13.78600001335144,0.8608669633669188,5.32450000445048,2.5584184027205352,5.758999824523926,2.365393160573291,5.760833342870076,3.6392715018571926,8.192000150680542,2.5592329377477014,,0.0,,0.0,0.018706136746025274,5.0,-0.08655423568269209,7.0,0.022352440689533182,7.0,-0.06391301323855045,13.0,0.024378165102593132,9.0,-0.06274626052879348,15.0,0.024378165102593132,9.0,-0.055571510232814036,19.0,0.020797446516553738,11.0,-0.05634317748551824,23.0,0.022352440689533182,14.0,-0.06391301323855045,26.0,0.020797446516553738,0.024378165102593132,-0.055571510232814036,-0.06391301323855045,0.022352440689533182,14.0,-0.06391301323855045,26.0
38,2_large_2_small_users,CUSTOM_FAIR_PARTITIONER,2.0,38.134000062942505,0.0,0.0,0.0,0.588562328,0.000169212,0.000169212,7.167900013923645,12.976500034332275,6.207000017166138,9.846333344777426,14.506999969482422,1.9057688122979706,3.898045318701806,5.896416703859965,9.223999977111816,2.619465439298074,4.097734330125196,9.223999977111816,4.097734330125196,9.075124979019165,14.506999969482422,0.8352238717978155,1.3351433408018425,14.506999969482422,1.3351433408018425,8.67849999666214,1.0534259904451824,11.446000099182129,0.7987207212426617,9.47174996137619,1.3351433408018425,14.506999969482422,0.8717270223529694,5.576000054677327,2.60950681211047,5.873999834060669,2.4771213037216024,6.2168333530426025,4.097734330125196,9.223999977111816,2.7618095748745457,,0.0,,0.0,0.07247794976437014,8.0,-0.07905842668658934,4.0,0.0610023913564051,16.0,-0.07905842668658934,4.0,0.059975110825898625,20.0,-0.07905842668658934,4.0,0.057177205220416756,24.0,-0.07905842668658934,4.0,0.053969345418880474,28.0,-0.06657287660217552,6.0,0.0610023913564051,32.0,-0.07905842668658934,8.0,0.053969345418880474,0.0610023913564051,-0.06657287660217552,-0.07905842668658934,0.0610023913564051,32.0,-0.07905842668658934,8.0
